CodeCommune;Code Région;Code Département;Commune;Région;Département;CodePostale;CodePostaleCorrigé;CodePostaleCorrigé;test
1265;84;1;MONTREAL LA CLUSE;AUVERGNE RHONE ALPES;AIN;1460;1460;1460;'01460
1266;84;1;MONTREVEL EN BRESSE;AUVERGNE RHONE ALPES;AIN;1340;1340;1340;'01340
1267;84;1;NURIEUX VOLOGNAT;AUVERGNE RHONE ALPES;AIN;1460;1460;1460;'01460
1268;84;1;MURS ET GELIGNIEUX;AUVERGNE RHONE ALPES;AIN;1300;1300;1300;'01300
1269;84;1;NANTUA;AUVERGNE RHONE ALPES;AIN;1130;1130;1130;'01130
1271;;;NATTAGES;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
1272;84;1;NEUVILLE LES DAMES;AUVERGNE RHONE ALPES;AIN;1400;1400;1400;'01400
1273;84;1;NEUVILLE SUR AIN;AUVERGNE RHONE ALPES;AIN;1160;1160;1160;'01160
1274;84;1;NEYROLLES;AUVERGNE RHONE ALPES;AIN;1130;1130;1130;'01130
1275;84;1;NEYRON;AUVERGNE RHONE ALPES;AIN;1700;1700;1700;'01700
1276;84;1;NIEVROZ;AUVERGNE RHONE ALPES;AIN;1120;1120;1120;'01120
1277;84;1;NIVOLLET MONTGRIFFON;AUVERGNE RHONE ALPES;AIN;1230;1230;1230;'01230
1279;84;1;ONCIEU;AUVERGNE RHONE ALPES;AIN;1230;1230;1230;'01230
1280;84;1;ORDONNAZ;AUVERGNE RHONE ALPES;AIN;1510;1510;1510;'01510
1281;84;1;ORNEX;AUVERGNE RHONE ALPES;AIN;1210;1210;1210;'01210
1282;84;1;OUTRIAZ;AUVERGNE RHONE ALPES;AIN;1430;1430;1430;'01430
1283;84;1;OYONNAX;AUVERGNE RHONE ALPES;AIN;1100;1100;1100;'01100
1284;84;1;OZAN;AUVERGNE RHONE ALPES;AIN;1190;1190;1190;'01190
1285;84;1;PARCIEUX;AUVERGNE RHONE ALPES;AIN;1600;1600;1600;'01600
1286;84;1;PARVES ET NATTAGES;AUVERGNE RHONE ALPES;AIN;1300;1300;1300;'01300
1286;;;PARVES;#N/A;#N/A;1300;1300;1300;'01300
1288;84;1;PERON;AUVERGNE RHONE ALPES;AIN;1630;1630;1630;'01630
1289;84;1;PERONNAS;AUVERGNE RHONE ALPES;AIN;1960;1960;1960;'01960
